lat,long
-15.414,134.713
-15.424,134.712
-15.593,135.186
-16.635,139.332
-15.35,128.617
-18.189,144.35
-18.182,144.344
-18.196,144.343
-16.001,128.905
-16.006,128.934
-28.725,129.714
-28.698,122.783
-28.708,122.826
-28.71,122.819
-32.451,146.142
-32.448,146.135
-34.198,142.252
-34.2,142.245
-24.686,-42.501
-24.688,-42.513
-22.909,-43.733
-23.336,-46.963
-23.4,-47.505
-23.273,-47.641
-23.274,-47.651
-22.878,-46.642
-22.76,-46.914
-22.761,-46.923
-23.096,-50.335
-22.48,-49.103
-21.398,-41.944
-21.397,-41.949
-21.679,-48.137
-21.681,-48.147
-21.536,-47.16
-21.537,-47.17
-21.029,-44.149
-21.031,-44.16
-21.02,-44.15
-21.022,-44.161
-21.519,-48.672
-21.52,-48.682
-20.558,-42.489
-20.564,-42.48
-21.544,-49.746
-21.534,-49.748
-21.535,-49.759
-21.533,-49.742
-20.212,-41.095
-20.271,-41.773
-20.173,-41.466
-21.232,-49.214
-21.223,-49.215
-20.926,-47.262
-20.927,-47.271
-20.183,-42.473
-20.17,-42.461
-20.148,-42.464
-21.039,-48.435
-21.041,-48.445
-20.187,-42.955
-20.182,-42.962
-20.076,-42.455
-20.025,-42.348
-20.191,-43.591
-20.192,-43.597
-20.18,-43.586
-20.182,-43.598
-20.096,-43.767
-20.1,-43.852
-19.763,-42.372
-19.75,-42.359
-19.752,-42.374
-19.755,-42.388
-19.815,-42.742
-19.817,-42.756
-19.925,-43.657
-19.842,-43.528
-19.574,-42.344
-19.561,-42.332
-19.563,-42.346
-21.365,-56.94
-21.377,-56.944
-19.703,-43.678
-19.693,-43.68
-19.728,-43.896
-19.73,-44.099
-19.463,-42.646
-19.466,-42.662
-19.452,-42.65
-19.455,-42.665
-19.457,-42.68
-19.444,-42.668
-19.419,-42.582
-19.421,-42.595
-19.889,-45.513
-19.88,-45.514
-19.881,-45.524
-20.322,-48.846
-20.323,-48.856
-20.317,-48.853
-19.293,-42.182
-19.229,-42.749
-19.213,-42.722
-19.216,-42.736
-19.218,-42.751
-19.209,-42.715
-19.211,-42.729
-19.214,-42.743
-19.214,-42.815
-19.301,-43.406
-19.146,-42.74
-19.133,-42.729
-19.135,-42.743
-19.131,-42.735
-20.189,-50.293
-19.072,-42.977
-19.067,-42.97
-19.67,-47.222
-19.028,-43.2
-19.031,-43.213
-19.005,-43.223
-19.079,-43.934
-19.081,-43.946
-19.381,-46.743
-19.462,-47.438
-19.463,-47.448
-18.567,-42.114
-18.406,-41.847
-19.065,-46.16
-18.543,-43.058
-18.691,-43.944
-18.54,-43.065
-18.672,-43.954
-18.727,-45.082
-18.729,-45.092
-18.726,-45.136
-18.728,-45.146
-18.718,-45.148
-18.308,-42.771
-18.828,-46.928
-18.266,-43.413
-18.268,-43.426
-18.024,-42.118
-18.027,-42.133
-18.017,-42.125
-17.786,-41.815
-18.901,-50.559
-18.903,-50.571
-18.682,-48.92
-18.683,-48.93
-18.675,-48.917
-18.676,-48.927
-18.664,-48.908
-18.665,-48.918
-18.667,-48.928
-17.853,-43.572
-17.575,-42.189
-17.563,-42.191
-17.565,-42.179
-17.568,-42.196
-17.892,-44.394
-17.894,-44.405
-17.903,-44.463
-19.462,-57.372
-17.736,-43.812
-17.73,-43.82
-18.711,-50.654
-18.712,-50.666
-18.702,-50.667
-19.252,-57.215
-17.678,-44.592
-18.486,-50.254
-17.668,-44.593
-17.925,-46.29
-18.475,-50.243
-18.476,-50.255
-18.465,-50.245
-18.466,-50.256
-18.455,-50.246
-18.452,-50.305
-18.454,-50.317
-18.442,-50.306
-18.444,-50.318
-18.413,-51.191
-18.237,-51.025
-18.227,-51.026
-17.344,-45.074
-17.346,-45.084
-17.334,-45.075
-17.336,-45.086
-17.921,-49.191
-17.223,-45.078
-18.039,-50.9
-18.041,-50.912
-18.042,-50.925
-17.213,-45.08
-17.215,-45.091
-18.029,-50.901
-18.03,-50.914
-16.622,-41.502
-17.197,-45.439
-17.199,-45.45
-17.187,-45.441
-17.545,-48.652
-17.536,-48.65
-17.538,-48.66
-17.319,-47.238
-16.917,-44.83
-16.496,-42.953
-16.497,-42.96
-17.068,-46.846
-17.225,-48.262
-17.035,-47.311
-17.026,-47.312
-16.579,-45.085
-16.502,-45.115
-16.527,-47.486
-16.522,-47.706
-16.148,-46.41
-16.16,-48.135
